country_a,country_b,profile_r_a,profile_r_b,within_r_a,within_r_b,profile_gap,within_gap,severity
EE,IE,0.843115145117026,0.8935144552479544,0.0448385177503157,0.0231370742572151,-0.050399310130928354,0.0217014434931006,0.0010937377808975942
IE,PT,0.8935144552479544,0.8007374572286252,0.0231370742572151,0.0348567735362287,0.09277699801932915,-0.0117196992790136,0.001087318516796178
ME,PT,0.8451443676693915,0.8007374572286252,0.0109959217807353,0.0348567735362287,0.04440691044076628,-0.0238608517554934,0.0010595867069465963
CY,IL,0.7870157211406633,0.7548493557251168,0.0444938149589886,0.0773792754789644,0.032166365415546516,-0.03288546051997579,0.0010578057399440695
BG,LV,0.6854503192912444,0.7597205566273624,0.0468655160241971,0.0330297925239352,-0.07427023733611793,0.013835723500261896,0.0010275824680813553
NO,UA,0.8906927910475326,0.7500397363579364,0.0177433721476182,0.024902889710967,0.1406530546895962,-0.007159517563348802,0.0010070080153888237
AT,PT,0.8823730677705127,0.8007374572286252,0.0226218363036761,0.0348567735362287,0.0816356105418875,-0.0122349372325526,0.000998806570921103
CH,GR,0.9051582931790576,0.7679404907030946,0.0142840839509112,0.0215528392495417,0.13721780247596305,-0.0072687552986305005,0.0009974026288135898
BG,SK,0.6854503192912444,0.8265866004521504,0.0468655160241971,0.0398486889084511,-0.14113628116090593,0.007016827115745999,0.000990328884665396
AT,SK,0.8823730677705127,0.8265866004521504,0.0226218363036761,0.0398486889084511,0.05578646731836234,-0.017226852604775,0.0009610252498345257
HU,ME,0.7798983692020902,0.8451443676693915,0.0255763780342704,0.0109959217807353,-0.06524599846730128,0.0145804562535351,0.0009513164263707045
GR,SI,0.7679404907030946,0.8574021817056523,0.0215528392495417,0.0112352493302409,-0.08946169100255774,0.0103175899193008,0.0009230290412515929
CH,IT,0.9051582931790576,0.8641004530725265,0.0142840839509112,0.036549367447733,0.04105784010653113,-0.022265283496821803,0.0009141644497390959
DE,HU,0.8300726310692906,0.7798983692020902,0.0075398289640195,0.0255763780342704,0.05017426186720042,-0.0180365490702509,0.000904970536231379
ES,UA,0.8290401786416228,0.7500397363579364,0.0134509102990582,0.024902889710967,0.07900044228368641,-0.011451979411908801,0.0009047114385644663
SI,SK,0.8574021817056523,0.8265866004521504,0.0112352493302409,0.0398486889084511,0.030815581253501922,-0.0286134395782102,0.0008817397722645042
AT,EE,0.8823730677705127,0.843115145117026,0.0226218363036761,0.0448385177503157,0.03925792265348671,-0.0222166814466396,0.0008721807618493305
DE,GR,0.8300726310692906,0.7679404907030946,0.0075398289640195,0.0215528392495417,0.062132140366196076,-0.0140130102855222,0.0008706583220130147
HU,NO,0.7798983692020902,0.8906927910475326,0.0255763780342704,0.0177433721476182,-0.11079442184544241,0.0078330058866522,0.0008678533585235775
EE,FI,0.843115145117026,0.910711852834848,0.0448385177503157,0.0321216874233562,-0.067596707717822,0.0127168303269595,0.0008596158627086161
GR,ME,0.7679404907030946,0.8451443676693915,0.0215528392495417,0.0109959217807353,-0.07720387696629694,0.0105569174688064,0.0008150349574050802
DE,PT,0.8300726310692906,0.8007374572286252,0.0075398289640195,0.0348567735362287,0.02933517384066542,-0.0273169445722092,0.0008013473178215785
HR,LV,0.7946389946133416,0.7597205566273624,0.0113382042255806,0.0330297925239352,0.03491843798597927,-0.021691588298354603,0.0007574363808134887
LV,SE,0.7597205566273624,0.8585370051014429,0.0330297925239352,0.0254155745113755,-0.09881644847408055,0.007614218012559702,0.0007524099819085218
CY,GB,0.7870157211406633,0.8197768716174378,0.0444938149589886,0.0219170857244814,-0.032761150476774525,0.022576729234507202,0.000739639623725085
LV,NL,0.7597205566273624,0.873628791112841,0.0330297925239352,0.0265766906080034,-0.1139082344854786,0.006453101915931802,0.0007350614461986509
LT,NO,0.8626392872316171,0.8906927910475326,0.0439121074466539,0.0177433721476182,-0.028053503815915537,0.0261687352990357,0.0007341247155691817
